Analyte,Alcohol (1/0),MAXDN,PJI2,Lop,IVDE,JGI1,JGI2,JGI3,JGT,SPH,PJI3,DISPv,DISPp,Mor29u,Mor31u,Mor11m,Mor14m,Mor17m,Mor19m,Mor24m,Mor29m,Mor11v,Mor31v,Mor10e,Mor16e,Mor20e,Mor29e,Mor24p,Mor31p,G1u,G2u,G3u,G2m,G3m,E1m,G1v,G2v,G3v,G1e,G2e,G3e,G1p,G3p,G1s,E1s,Gu,ISH,HATS1m,HATS2m,HATS4m,R3m,R2m+,R5m+,R6e+
2-Deoxy Glucose,0,2.441,0.667,1.16,1.573,0.273,0.104,0.075,0.54,0.703,0.726,1.962,0.132,0.064,0.142,-0.124,0.224,-0.01,0.201,-0.109,0.043,-0.02,0.053,0.184,-0.2,0.155,0.157,0.043,0.084,0.181,0.181,0.22,0.181,0.22,0.303,0.181,0.181,0.207,0.195,0.195,0.207,0.181,0.207,0.224,0.453,0.193,0.895,0.075,0.092,0.199,0.539,0.065,0.06,0.049
Arabinose,0,2.747,0.667,0.861,1.522,0.25,0.143,0.063,0.543,0.616,0.497,1.751,0.187,0.042,-0.047,-0.116,0.135,0.085,0.115,-0.03,0.064,0.007,0.023,0.503,-0.14,0.188,0.125,-0.005,0.047,0.219,0.219,0.235,0.188,0.188,0.369,0.188,0.188,0.235,0.188,0.188,0.188,0.188,0.188,0.231,0.475,0.224,0.94,0.082,0.143,0.22,0.796,0.097,0.077,0.056
Arabitol,1,2.824,1,1.761,1.485,0.278,0.162,0.063,0.546,0.558,0.892,0.734,0.045,0.033,-0.002,0.138,0.262,0.023,0.064,-0.027,0.033,0.114,0.033,0.2,0.442,0.232,0.102,0.021,0.06,0.268,0.224,0.183,0.211,0.183,0.353,0.183,0.211,0.238,0.211,0.198,0.253,0.183,0.211,0.231,0.337,0.222,0.857,0.077,0.084,0.235,0.635,0.062,0.07,0.06
Cellobiose,0,3.072,1,1.033,1.531,0.229,0.114,0.06,0.563,0.792,0.95,1.738,0.093,0.031,0.012,-0.258,-0.053,0.139,0.38,-0.105,0.09,-0.036,0.019,0.491,-0.206,-0.047,0.162,0.058,0.082,0.165,0.154,0.197,0.165,0.165,0.527,0.154,0.16,0.165,0.165,0.165,0.165,0.154,0.186,0.181,0.614,0.171,0.858,0.074,0.091,0.135,0.855,0.047,0.034,0.03
Erythritol,1,2.556,0.667,1.5,1.5,0.286,0.167,0.047,0.519,0.578,0.515,1.129,0.088,0.12,0.167,0.015,0.109,-0.025,0.115,-0.074,0.084,0.074,0.066,-0.196,0.167,0.146,0.202,0.015,0.093,0.23,0.23,0.193,0.23,0.23,0.567,0.23,0.193,0.266,0.23,0.266,0.193,0.23,0.193,0.25,0.742,0.217,0.719,0.082,0.105,0.21,0.589,0.064,0.054,0.049
Fructose,0,3.418,1,1.124,1.825,0.333,0.16,0.066,0.665,0.586,0.567,1.556,0.131,0.016,-0.09,-0.226,0.108,-0.03,0.485,0.014,0.117,0.017,-0.023,0.327,0.027,-0.211,0.102,0.024,0.006,0.179,0.204,0.179,0.179,0.179,0.427,0.179,0.228,0.179,0.179,0.228,0.179,0.179,0.228,0.218,0.545,0.187,0.721,0.077,0.125,0.249,0.938,0.064,0.058,0.05
Fucose,0,2.763,0.667,0.832,1.349,0.273,0.139,0.07,0.561,0.61,0.671,2.227,0.184,-0.129,0.198,-0.068,0.127,0.057,0.425,0.059,0.071,-0.019,0.061,0.255,-0.084,-0.184,-0.038,0.03,0.101,0.207,0.233,0.292,0.181,0.181,0.262,0.181,0.195,0.207,0.181,0.195,0.207,0.181,0.181,0.224,0.335,0.242,0.822,0.073,0.119,0.208,0.772,0.083,0.058,0.046
Galactitol,1,3.003,0.75,1.792,1.459,0.273,0.159,0.063,0.565,0.66,0.825,0.831,0.061,-0.053,0.134,0.111,0.416,0.054,0.072,0.093,0.098,0.253,0.04,0.423,0.523,0.207,0.049,0.031,0.081,0.219,0.219,0.268,0.219,0.219,0.448,0.198,0.175,0.242,0.198,0.175,0.219,0.198,0.268,0.281,0.477,0.234,0.814,0.065,0.075,0.21,0.676,0.053,0.056,0.047
Galactose,0,2.902,0.5,1.124,1.483,0.25,0.131,0.069,0.55,0.684,0.55,1.567,0.156,0.2,0.042,-0.146,0.231,0.108,0.143,-0.06,0.139,0.064,0.022,0.617,0.088,-0.002,0.299,-0.049,0.053,0.179,0.216,0.204,0.179,0.179,0.386,0.204,0.179,0.204,0.179,0.179,0.216,0.179,0.179,0.218,0.489,0.199,0.889,0.079,0.104,0.258,0.784,0.059,0.067,0.065
Gentobiose,0,3.072,0.833,0.923,1.531,0.229,0.121,0.061,0.575,0.867,0.844,0.4,0.038,0.187,0.122,-0.044,0.341,0.148,0.178,-0.204,0.216,0.012,0.079,1.068,-0.377,0.266,0.299,-0.061,0.136,0.209,0.209,0.221,0.165,0.197,0.634,0.154,0.154,0.154,0.165,0.165,0.186,0.154,0.165,0.181,0.741,0.213,0.916,0.061,0.082,0.109,0.785,0.042,0.032,0.024
